 ros2 run motor_control_ros2 delta_arm_manager_node

[INFO] [1783232066.814016293] [delta_arm_manager]: 配置加载完成: kp=0.75 kd=0.25 max_vel=10.00 max_accel=50.0 p_gain=25.0 landing_torque=-0.00 gravity_comp=0.800 tilt=[arm_tilt_motor down=1.600]
[INFO] [1783232066.815448319] [delta_arm_manager]: delta_arm_manager 启动，控制频率 200.0 Hz，电机: [arm_delta_motor_1,arm_delta_motor_2, arm_delta_motor_3]
[INFO] [1783232066.815467448] [delta_arm_manager]: 状态：初始化 → 进入软着陆流程
[INFO] [1783232066.818210621] [delta_arm_manager]: 俯仰零点锁定：原始角 0.421 rad，此后 ready=0.000 down=1.600 均为相对角
[INFO] [1783232066.820538786] [delta_arm_manager]: 初始化 → 软着陆：施加向下力矩 -0.00 Nm，阻尼 kd=0.050
[INFO] [1783232066.820586777] [delta_arm_manager]: LANDING_CSV,t,cmd_tq,landing_kd,m1_pos,m1_vel,m2_pos,m2_vel,m3_pos,m3_vel,tilt_pos,tilt_vel
[INFO] [1783232067.260548740] [delta_arm_manager]: LANDING_CSV,0.4399,-0.000,0.050,0.7299,0.012,0.4061,0.000,0.4734,-0.070,0.4214,-0.008
[INFO] [1783232067.265550248] [delta_arm_manager]: LANDING_CSV,0.4449,-0.000,0.050,0.7299,0.012,0.4061,0.000,0.4734,-0.070,0.4214,-0.008
[INFO] [1783232067.270539772] [delta_arm_manager]: LANDING_CSV,0.4499,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.120,0.4214,0.019
[INFO] [1783232067.275491156] [delta_arm_manager]: LANDING_CSV,0.4549,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.120,0.4214,0.019
[INFO] [1783232067.280576762] [delta_arm_manager]: LANDING_CSV,0.4600,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.120,0.4214,0.019
[INFO] [1783232067.285562224] [delta_arm_manager]: LANDING_CSV,0.4649,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,-0.062,0.4213,-0.039
[INFO] [1783232067.290569971] [delta_arm_manager]: LANDING_CSV,0.4700,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,-0.062,0.4213,-0.039
[INFO] [1783232067.295640037] [delta_arm_manager]: LANDING_CSV,0.4750,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,-0.062,0.4213,-0.039
[INFO] [1783232067.300647957] [delta_arm_manager]: LANDING_CSV,0.4800,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,-0.054,0.4213,-0.062
[INFO] [1783232067.305659891] [delta_arm_manager]: LANDING_CSV,0.4850,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,-0.054,0.4213,-0.062
[INFO] [1783232067.310687732] [delta_arm_manager]: LANDING_CSV,0.4900,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,-0.054,0.4213,-0.062
[INFO] [1783232067.315588446] [delta_arm_manager]: LANDING_CSV,0.4950,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4213,-0.066
